number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_holidays_prior_scale,params_seasonality_prior_scale,state
0,0.5798654128373057,2024-11-22 20:04:30.492254,2024-11-22 20:05:45.373358,0 days 00:01:14.881104,0.008602526803762606,0.03949185906528235,0.10910220278972811,COMPLETE
1,0.6025221730222236,2024-11-22 20:05:45.374634,2024-11-22 20:08:49.817948,0 days 00:03:04.443314,0.36014247623845813,1.068318319588088,0.057757259755782116,COMPLETE
2,0.579726440930485,2024-11-22 20:08:49.821314,2024-11-22 20:09:45.396723,0 days 00:00:55.575409,0.00102089473412001,0.3953027173460764,8.682340473781968,COMPLETE
3,0.5933278279622863,2024-11-22 20:09:45.398379,2024-11-22 20:12:07.609928,0 days 00:02:22.211549,0.14409264595947022,0.35898027949355305,0.1387695033289078,COMPLETE
4,0.581865296296325,2024-11-22 20:12:07.611261,2024-11-22 20:13:23.444350,0 days 00:01:15.833089,0.01986842880584457,0.14969569902712954,1.2844018779644728,COMPLETE
5,0.6101549975031058,2024-11-22 20:13:23.445930,2024-11-22 20:16:42.873181,0 days 00:03:19.427251,0.47975170633952796,3.4393517395903745,8.596405454041662,COMPLETE
6,0.5805438540195759,2024-11-22 20:16:42.874508,2024-11-22 20:17:57.751323,0 days 00:01:14.876815,0.01214003603370077,8.624451808731079,2.5709484676601004,COMPLETE
7,0.5894556934805392,2024-11-22 20:17:57.752818,2024-11-22 20:19:43.815906,0 days 00:01:46.063088,0.0977435278916867,0.037737580414645276,0.2149104153066357,COMPLETE
8,0.6007053945914343,2024-11-22 20:19:43.817178,2024-11-22 20:22:44.469881,0 days 00:03:00.652703,0.25977559279177587,0.34354789814012554,3.546196068748007,COMPLETE
9,0.598354314553726,2024-11-22 20:22:44.471377,2024-11-22 20:25:42.188190,0 days 00:02:57.716813,0.23152139344634148,1.0242670227673631,0.6142179143281986,COMPLETE
